jobName,tags,area,workYear,degree,companyName,companyType,companySize,logo,min_salary,max_salary
Java大数据开发工程师,"数据挖掘,大数据,Java,大数据开发,数据价值,分析数据,五险一金,通讯补贴,生日福利,定期体检,绩效奖金,五险一金,补充商业保险,通讯补贴,证券休市假,生日福利,节日礼物,过节礼金,定期体检,免费食堂,绩效奖金",北京北京丰台区,1年,大专,北京迈捷映博科技有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,8000,15000
Java开发实习生,"计算机,java,软件开发,编程,c语言,.net,员工培训,php,技能培训,软件设计,五险一金,绩效奖金,定期体检,五险一金,绩效奖金,定期体检",辽宁省大连高新园区,0年,大专,大连高新园区思睿创联计算机软件开发有限公司,民营,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,3000,5000
Java开发实习生,"java,五险一金,定期体检,绩效奖金,年终奖金,员工旅游,交通补贴,免费班车,补充公积金,五险一金,节日礼物,定期体检,绩效奖金,年终奖金,员工旅游,交通补贴,免费班车,补充公积金",河南省焦作,0年,大专,北京迈捷映博科技有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,6500,13000
java开发实习生/助理,软件开发,四川省成都高新区,0年,大专,成都臻琰科技有限公司,民营,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,3000,5000
Java开发工程师（RD）(TJ0017),"java,后台,五险一金,餐饮补贴,年终奖金,定期体检",江苏省南京建邺区,5-7年,本科,万得信息技术股份有限公司（Wind资讯）,民营,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/1/269/268532/196456456939096647346_300.png?1674092984156,12500,16667
Technology-对日JAVA开发/设计工程师,"五险一金,补充医疗保险,定期体检,弹性工作,年终奖金,五险一金,补充医疗保险,定期体检,弹性工作,年终奖金",辽宁省大连高新园区,5-7年,大专,埃森哲（中国）有限公司,外资（欧美）,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/1/526/525720/21591448016526634908_300.jpeg?1656902741712,8000,15000
点评事业部-JAVA高级开发工程师,"年终奖金,五险一金",上海上海,3-4年,本科,美团,已上市,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/5/4401/4400526/4400526_300.png?637439174362178773,30000,45000
运营商BU-Java开发-合肥,"五险一金,餐饮补贴,通讯补贴,年终奖金,定期体检,绩效奖金,交通补贴",安徽省合肥蜀山区,5-7年,本科,科大讯飞股份有限公司,已上市,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/1/316/315713/315713_120.gif?635700457136707956,17500,29167
高级Java工程师（英语良好）,"java,mysql,oracle,测试,springboot,springcloud,数据结构,代码编写,项目开发,it,五险一金,专业培训,绩效奖金,定期体检,五险一金,专业培训,绩效奖金,定期体检",广东省广州石牌,5-7年,本科,神州数码信息服务股份有限公司,已上市,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/3/2684/2683268/2683268_300.png?637625649163238352,25000,33000
java开发（双休、五险一金）月薪8K-15K,"java开发,软件工程师,开发工程师,五险一金,年终奖金,员工旅游,周末双休,项目奖金",安徽省合肥滨湖新区,2年,大专,安徽安讯信息科技有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,8000,15000
美团平台-高级Java开发工程师(在线智能客服方向),"年终奖金,五险一金",四川省成都,3-4年,本科,美团,已上市,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/5/4401/4400526/4400526_300.png?637439174362178773,20000,35000
高级java开发工程师（技术经理）,"团队管理,系统架构,架构设计,开发规范,五险一金,年终奖金,专业培训,五险一金,年终奖金,专业培训",重庆重庆渝北区,5-7年,本科,亚信科技OBC,民营,10000人以上,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,15000,20000
Java开发工程师,"java,oracle,spring,jquery,测试,javascript,需求分析,项目管理,ajax,jsp,五险一金,年终奖金,绩效奖金,餐饮补贴,定期体检,五险一金,年终奖金,绩效奖金,餐饮补贴,定期体检",河南省洛阳洛龙区,1年,大专,北京金巴顺漾科技有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,7000,13000
Java架构师,"五险一金,专业培训,周末双休",广东省广州天河区,5-7年,本科,广东中科云量信息安全技术有限公司,民营,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/8/7217/7216907/61202256590528596536_300.jpeg?1654584497942,15000,25000
Java架构师(TJ0005),"周末双休,弹性工作,带薪年假,五险一金,节日福利,餐饮补贴,加班补贴,高温补贴",江苏省苏州,10年以上,本科,万得信息技术股份有限公司,民营,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/4/3968/3967456/18459205358715003962_300.png?1674092930797,15000,30000
高级Java开发工程师Java Development Analyst,"java,spring,API,五险一金,岗位晋升,五险一金,岗位晋升,在家办公,志愿者假期,10日以上年假,补充商业医保,年终绩效奖金,国际化团队,多元文化,具竞争力薪酬",广东省广州,10年以上,本科,渣打环球商业服务（广州）有限公司,外资（欧美）,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/7/6295/6294734/189771328454560035365_300.png?1673424858740,30000,50000
java开发工程师,java,广东省广州海珠区,1年,本科,广州宝立科技有限公司,民营,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,6000,7000
SaaS技术部-高级Java工程师,"年终奖金,五险一金",上海上海,3-4年,本科,美团,已上市,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/5/4401/4400526/4400526_300.png?637439174362178773,25000,50000
Java开发工程师,"五险一金,员工旅游,专业培训,餐饮补贴,绩效奖金,年终奖金,股票期权",湖北省武汉江岸区,1年,本科,武汉吉嘉时空信息技术有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,8000,13000
Java开发工程师（上海）,"java,c++,Andriod,IOS,数据库,五险一金,员工旅游,年终奖金,定期体检,专业培训,绩效奖金,期权奖励",上海上海,1年,本科,上海寰创通信科技股份有限公司,民营,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2013/2012670/2012670_300.jpg?636894767543161756,9000,18000
推荐系统Java开发工程师,"年终奖金,五险一金",北京北京,3-4年,本科,美团,已上市,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/5/4401/4400526/4400526_300.png?637439174362178773,25000,50000
Java,"java,英语,五险一金,员工旅游,专业培训,五险一金,员工旅游,专业培训",广东省广州黄埔区,0年,大专,神州数码信息服务股份有限公司,已上市,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/3/2684/2683268/2683268_300.png?637625649163238352,8000,14000
高级软件开发工程师（JAVA开发）,"软件工程,编码,串口通信,产线测试,处理产线,调试测试软件,研发调试,测试软件,五险一金,餐饮补贴,年终奖金,绩效奖金",广东省惠州惠阳区,5-7年,本科,广东省古瑞瓦特新能源有限公司,民营,5000-10000人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_newenergy.png,12000,15000
Java前端开发工程师,"vue,web,绩效奖金,年终奖金,专业培训,通讯补贴,餐饮补贴,五险一金,员工旅游",浙江省宁波奉化区,2年,本科,宁波瑞利时数控科技有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/6/5295/5294586/5294586_300.png?636783170914192295,10000,15000
Java高级开发工程师（笔记业务）,"年终奖金,五险一金",上海上海,3-4年,本科,美团,已上市,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/5/4401/4400526/4400526_300.png?637439174362178773,30000,50000
Java开发工程师（应届生）,"java,需求开发,专业培训,周末双休,节日福利,年终奖金,五险一金,绩效奖金,定期体检,员工旅游",福建省福州,0年,本科,福州领视网络科技有限公司,民营,少于50人,https://img01.51jobcdn.com/fansImg/CompLogo/5/4126/4125938/47477610886515525372_300.png?1660381487398,5000,8000
前端开发/PHP[网站/JAVA工程师,"五险一金,通讯补贴,定期体检,员工旅游,五险一金,通讯补贴,定期体检,员工旅游",广东省广州增城区,5-7年,大专,广州瑞丰生物科技有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/5/4563/4562540/233894653797790366337_300.png?1679023188273,6000,12000
JAVA研发实习生（旗下龙图公司招聘）,"java,软件研发,前端vue,软件项目开发,测试,前端框架,五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金",广东省广州黄埔区开发区,0年,本科,广东旭龙物联科技股份有限公司,已上市,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_elect.png,4000,5000
PHP/JAVA工程师,"java,软件开发,php开发,五险一金,员工旅游,年终奖金,定期体检,五险一金,员工旅游,年终奖金,定期体检",广东省广州,5-7年,大专,广州瑞丰生物科技有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/5/4563/4562540/233894653797790366337_300.png?1679023188273,8000,10000
java自动化测试,"五险一金,交通补贴,餐饮补贴,定期体检,补充医疗保险,五险一金,交通补贴,餐饮补贴,定期体检,补充医疗保险",深圳深圳,3-4年,大专,神州数码信息服务股份有限公司,已上市,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/3/2684/2683268/2683268_300.png?637625649163238352,15000,20000
Java开发实习生（可转正）,软件开发,湖北省武汉洪山区光谷鲁巷,0年,大专,武汉洛比科技有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,3000,5000
React前端开发工程师（Java）-电商,"Java,react,年终奖金,五险一金",上海上海静安区静安寺,5-7年,本科,上海冠凯软件技术有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/7/6081/6080714/6080714_300.png?637725928211486380,20000,30000
高级Java工程师,"年终奖金,五险一金",广东省佛山顺德区,3-4年,本科,佛山市懂德信息技术服务有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,20000,40000
java开发工程师,"计算机,java,mysql,数据库,jquery,linux,springboot,css,html,redis,做五休二,带薪年假,五险一金,节日福利,绩效奖金",上海上海静安区,5-7年,本科,上海瀚医健康管理咨询有限公司,民营,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_internet.png,15000,25000
Java高级工程师,"年终奖金,节日福利,专业培训,五险,年假",江苏省苏州吴中区,3-4年,本科,浙江速搜物流股份有限公司,民营,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_transport.png,8000,12000
Java开发工程师,"java,软件开发,软件工程师,java开发,五险一金,员工旅游,通讯补贴,专业培训,年终奖金,定期体检",福建省福州,5-7年,本科,福建星网智慧科技有限公司,国企,500-1000人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_imnetwork.png,9000,12000
Java后端开发工程师,"java,mysql,springboot,springcloud,多线程,专业培训",四川省成都锦江区,5-7年,本科,新希望化工投资有限公司,民营,500-1000人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2389/2388361/2388361_300.png?636891986195059325,16000,23000
Java高级软件开发工程师,"软件工程师,研发工程师,java研发,java开发,软件,开发,开发工程师,绩效奖金,专业培训,补充医疗保险,定期体检,员工旅游,五险一金,年终奖金",上海上海浦东新区张江,3-4年,本科,上海亿业网络科技发展有限公司,合资,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2040/2039323/2039323_120.gif?635700457408619442,15000,30000
高级Java开发工程师,"java,软件开发,软件工程师,开发,软件,工程师,开发工程师,java开发,五险一金,补充医疗保险,专业培训",上海上海浦东新区,5-7年,本科,“前程无忧”51job.com（上海）,外资（非欧美）,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/1/2/1249/122569213748283499406_300.png?1667890646943,20000,30000
Java开发高级工程师,"java开发,软件开发,软件工程师",湖南省长沙开福区,3-4年,本科,湖南群诚信息科技有限公司,民营,少于50人,https://img01.51jobcdn.com/fansImg/CompLogo/7/6584/6583671/6583671_300.jpg?637582505219951160,8000,15000
Java开发工程师（高级）,"Java开发,员工旅游,专业培训,绩效奖金,年终奖金,定期体检,五险,过年过节福利,午餐免费,年终奖,项目奖",四川省成都双流区,5-7年,本科,成都国铁电气设备有限公司,民营,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2937/2936428/130139520120140347135_300.png?1667461297623,15000,24000
Java开发工程师,"java工程师,五险一金,交通补贴,绩效奖金,弹性工作",深圳深圳龙岗区,3-4年,本科,润得科技（深圳）有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_internet.png,12000,24000
Java高级工程师,"java,mysql,oracle,设计方案,微服务,软件设计,供应链,mes系统,软件开发流程,应用软件开发,五险一金,餐饮补贴,专业培训,绩效奖金,节日福利,股权,员工旅游",上海上海松江区,5-7年,本科,上海长江电气设备集团有限公司,民营,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/7/6052/6051481/6051481_300.jpg?637426107085172591,14083,27083
Java高级工程师,"带薪年假,五险一金,绩效奖金,节日福利,专业培训,餐饮补贴",江苏省淮安涟水县,3-4年,本科,江苏今世缘酒业股份有限公司,已上市,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/4/3433/3432788/3432788_120.gif?636298525009430168,5500,10000
社招-Java开发工程师（北京分公司）(J10018),"六险三金,免费三餐,导师带教,节日福利,周末双休,年终奖金,绩效奖金",北京北京西城区,5-7年,本科,上海期货信息技术有限公司,国企,500-1000人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,25000,35000
java开发工程师(J11883),"绩效奖金,节日福利,专业培训,带薪年假,弹性工作,住房补贴,包住宿,员工旅游,五险一金,氛围好",上海上海,5-7年,本科,太平洋房屋,外资（非欧美）,5000-10000人,https://img01.51jobcdn.com/fansImg/CompLogo/6/5326/5325749/5325749_300.png?637151150986768629,25000,35000
高级Java工程师,"java,python,golang,数据分析,软件开发,架构优化,数据库,需求分析,功能模块设计,卫生行业,五险一金,交通补贴,餐饮补贴,绩效奖金,年终奖金,定期体检,专业培训,节日福利,带薪年假",江苏省南京雨花台区,3-4年,本科,沈苏科技（苏州）股份有限公司,国企,500-1000人,https://img01.51jobcdn.com/fansImg/CompLogo/2/1233/1232295/147613677306101374612_300.png?1670395091818,12000,20000
资深JAVA开发工程师 高薪(155329),"java,招聘,redis,团队管理,软件工程,rabbitmq,中间件,故障处理,后端开发,软件设计,国家法定假期,五险一金,餐饮补贴,住房补贴",上海上海青浦区,5-7年,本科,上海艾杰飞人才管理咨询有限公司,外资（非欧美）,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/2/1988/1987073/1987073_300.png?637461558986581180,20000,40000
高级Java开发工程师,"Lead,Java,Software,Engineer,软件,开发,工程师,高级,五险一金,出国机会,股票期权,弹性工作",四川省成都高新区,5-7年,本科,成都敏途科技有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,12000,18000
中级Java开发工程师,"计算机,java,vue,项目开发,设计模式,mysql数据库,五险一金,出差补贴,周末双休",浙江省杭州余杭区,3-4年,本科,杭州钛联科技有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,10000,20000
Java开发工程师,"java,hive,数据挖掘,版本管理,算法,数据结构,版本发布,版本归档,服务器代码,版本变更,五险一金,免费班车,员工旅游,交通补贴,餐饮补贴,专业培训,出国机会,绩效奖金,年终奖金,弹性工作",上海上海杨浦区,3-4年,大专,上海颜惊泓企业管理有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/8/7557/7556067/210601078174855782613_300.png?1676693946616,30000,40000
Java高级开发工程师,"java,java开发,开发工程师,软件工程师,软件开发,五险一金,餐饮补贴,弹性工作,绩效奖金,年终奖金,股票期权",江苏省徐州,5-7年,大专,徐州宣广信息科技有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,12000,17000
Java微服务开发工程师,"Java,spring,cloud,srping,boot,postgreSQL,Redis,Spring,MVC,五险一金,餐饮补贴,绩效奖金,股票期权,五险一金,餐饮补贴,绩效奖金,股票期权",上海上海,3-4年,本科,上海长庚信息技术股份有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,18000,25000
Java开发工程师（中级）,"Java开发,专业培训,绩效奖金,年终奖金,五险,过年过节福利,午餐免费,年终奖,项目奖,交通补贴",四川省成都双流区,3-4年,本科,成都国铁电气设备有限公司,民营,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2937/2936428/130139520120140347135_300.png?1667461297623,8000,16000
Java中级开发工程师,"mysql,springboot,springcloud,mqtt,开发环境,系统功能设计,应用系统开发,五险一金,周末双休,餐饮补贴,绩效奖金,年终奖金",深圳深圳宝安区石岩,3-4年,本科,深圳市恒天伟焱科技股份有限公司,民营,500-1000人,https://img01.51jobcdn.com/fansImg/CompLogo/4/3757/3756738/3756738_120.gif?636488218228773083,16250,21667
高级Java开发工程师-17580,"计算机,java,jquery,css,javascript,vue,eclipse,自动化,前端,html5,补充医疗保险,定期体检,七险一金,带薪年假,带薪病假,免费健身",四川省成都,5-7年,本科,瞬联软件科技（北京）有限公司 CIeNET Technologies,外资（欧美）,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/1/112/111126/21717556518258975576_300.jpeg?1656915352707,10000,15000
Java高级开发工程师,"java,产品开发,微服务,spring,关系型数据库,五险一金,专业培训,弹性工作",江苏省苏州苏州工业园区,5-7年,大专,英赛孚工业智能科技（苏州）有限公司,民营,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/8/7788/7787399/26608613159885960757_300.png?1682242428644,14000,20000
Java开发工程师,"计算机,mes,客户化开发,系统应用,年终奖金,免费班车,提供食宿,节日福利,周末双休,包住宿,五险一金",江苏省苏州苏州工业园区,5-7年,本科,益而益（集团）有限公司,民营,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2542/2541491/1650417970385_300.jpeg?1650417972391,16333,21000
资深Java开发工程师,"java,linux,c#,swing,多线程,五险一金,定期体检,员工旅游,周末双休,生日福利,餐饮补贴",浙江省杭州滨江区,5-7年,本科,嘉兴凯实生物科技有限公司,民营,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2695/2694653/2694653_300.png?637399092951374705,15000,28000
java开发工程师,"开发工程师,做五休二,周末双休,带薪年假,包吃,节日福利,年终奖金",上海上海黄浦区,3-4年,本科,上海九蕴网络科技有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/home_logo_default.png,13000,23000
中级Java-双休五险一金(003),"五险一金,五险一金",深圳深圳罗湖区,3-4年,本科,深圳市金信科技有限责任公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/9/8250/8249900/471891932362557793055_300.png?1701932925128,14000,18000
JAVA开发工程师（供应链平台）,"多线程,dubbo,供应链,TMS/WMS,五险一金,餐饮补贴,绩效奖金,年终奖金,定期体检",上海上海浦东新区,3-4年,本科,中储南京智慧物流科技有限公司,国企,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/4/3486/3485753/3485753_300.png?636560253312782274,15000,25000
Java中级开发工程师(跨境公服）,"java,redis,spring,五险一金,绩效奖金,年终奖金,专业培训,定期体检,商业保险",上海上海浦东新区张江,3-4年,本科,上海市信息投资股份有限公司,国企,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_finance.png,16250,25000
Java开发工程师,"年终奖金,五险一金",深圳深圳南山区,3-4年,本科,中讯志远（武汉）科技有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,10000,15000
Java软件开发工程师（中/高级）,java,四川省成都高新区,5-7年,本科,招银网络科技（深圳）有限公司成都分公司,国企,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/5/4869/4868305/4868305_300.png?636539438007307730,15000,25000
Java开发工程师,"java,react,vue,ibatis,docker,oracle,mysql,angular,redis,五险一金,绩效奖金,专业培训,定期体检,员工旅游",上海上海浦东新区,3-4年,大专,上海佳依佳信息科技有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,11000,18000
