,index,jobName,tags,area,workYear,degree,companyName,companyType,companySize,logo,min_salary,max_salary
8848,8848,前端开发助理,"前端设计,五险一金,绩效奖金,员工旅游,带薪年假,专业培训,五险一金,绩效奖金,员工旅游,房补餐补,带薪年假,专业培训",贵州省贵阳南明区,0年,大专,贵州视谷助农供应链有限公司,民营,,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/home_logo_default.png,4000,8000
8849,8849,.NET开发工程师,".NET工程师,C#,ASP.NET,软件开发,软件工程师,.NET程序员,五险一金,绩效奖金,周末双休,定期团建,餐饮补贴,弹性工作",甘肃省武威,1年,大专,甘肃睿阳科技有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/6/5291/5290714/5290714_300.png?637276423939282521,5000,10000
8850,8850,伊利2024年校招-人力资源储备学生-信息化方向（总部）,"五险一金,免费班车,节日福利",内蒙古呼和浩特,0年,本科,内蒙古伊利实业集团股份有限公司,已上市,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/3/2863/2862068/2862068_300.png?636867756920637274,5000,6000
8851,8851,Vue前端开发工程师,"vue.js,css3,javascript,web应用,五险一金,定期体检,周末双休,专业培训,弹性工作,绩效奖金,团队氛围",北省武汉洪山区,3-4年,本科,武汉佰钧成技术有限责任公司,民营,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/3/2472/2471571/2471571_300.jpg?637553137196295518,11000,15000
8852,8852,前端工程师,"前端开发,web,web前端,开发,HTML5,H5,vue,软件开发,五险一金,年终奖金,弹性工作,员工旅游,股票",上海上海闵行区江镇,3-4年,本科,上海安师傅汽车服务股份有限公司,已上市,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/5/4226/4225876/4225876_120.gif?636220619172042178,13000,19500
8853,8853,React前端开发工程师,"年终奖金,五险一金",江苏省苏州,3-4年,本科,昆山庄锦数信息科技有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,12000,15000
8854,8854,React前端开发工程师,"六险一金,餐饮补贴,专业培训,弹性工作,交通补贴,补充医疗保险,五险一金,年终奖金",北京北京朝阳区,3-4年,本科,上海锐士达咨询管理有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_accounting.png,25000,50000
8855,8855,React前端开发工程师,"前端,react,vue框架,http协议,前端研发,需求管理,w3c,用户体验,javascript,html,五险一金,补充医疗保险,员工旅游,交通补贴,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检,员工体检",深圳深圳南山区,3-4年,本科,深圳市睿服科技有限公司,民营,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/6/5201/5200657/5200657_300.png?637734296059628483,13000,18000
8856,8856,React前端开发工程师22K,"vue,react,编码,组件开发,react_native,低代码平台,微前端,五险一金,餐饮补贴,绩效奖金,分红",广东省广州,3-4年,大专,广东合生信息科技有限公司,民营,1000-5000人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,18000,23000
8857,8857,高级前端开发-react,"前端开发,react,五险一金,员工旅游,年终奖金,绩效奖金,专业培训,定期体检,年度调薪",广东省广州海珠区,5-7年,大专,珠海爱浦京软件股份有限公司,外资（非欧美）,500-1000人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2707/2706078/2706078_300.jpg?637148554672497440,18417,23833
